search_term,asin,amazon_title,price_seen,checked_on,note
Callaway Strata Complete Set golf,B07H2HQJR5,Callaway Golf Strata Complete Golf Set (Men's and Women's),481.20,2026-08-22,4 piece-count variants share this title; chose most-reviewed (5.4K)
Wilson Profile SGI Complete Set golf,B07HN3T2PB,Wilson Men's Profile SGI Complete Golf Club Package Set - Men's and Senior,449.99,2026-08-22,chose most-reviewed men's variant (584); women's SGI is a separate listing
Srixon Soft Feel golf,B0DSJN58C2,Srixon Soft Feel Golf Balls,24.97,2026-08-22,Amazon Overall Pick; 4.7 stars (1.1K)
Callaway Supersoft golf,B0DHT5XZR1,Callaway Golf Supersoft 2025 Golf Balls,26.97,2026-08-22,current 2025 model; colour variants share 6.4K reviews
Cleveland CBX golf,B0CP6KR7QL,Cleveland Golf CBX4 Zipcore Wedge,96.99,2026-08-22,"article names CBX ZipCore/CBX line; chose current CBX 4 ZipCore, most-reviewed loft variant (170); card showed 'See options $96.99 (2 used & new offers)'"
Cobra Fly XL golf,B0DC8D83JH,Cobra Fly-XL Men's Complete Golf Set,999.00,2026-08-22,most-reviewed men's complete-set listing (15)
Garmin Approach R10 golf,B095QX1FSR,"Garmin Approach R10, Portable Golf Launch Monitor, Take Your Game Home, Indoors or to The Driving Range, Up to 10 Hours Ba...",482.66,2026-08-22,plain device (not a bundle); 1.1K reviews
Winn Dri-Tac golf,B00FEID2OE,Winn Dri-Tac Grip,11.99,2026-08-22,single standard grip (628 rv); 9-piece bundle B07JN6Y52L (1.7K) also exists; Oversize and Wrap are separate worklist terms
Cleveland Launcher XL2 golf,B0CP9WFMJW,Cleveland Golf Launcher XL 2 Driver,299.99,2026-08-22,4 loft/flex variant ASINs share title and 105 reviews; chose first organic
Titleist TruFeel golf,B0FY3QKQ16,Titleist TruFeel Golf Balls,24.97,2026-08-22,current generation; most-reviewed colour variant (276)
Ping G440 Max golf,,,,2026-08-22,BLANK: term feeds two articles meaning different products (G440 Max DRIVER in driver-vs-3-wood post; G440 Max 5/7-WOOD in fairway-woods post); Amazon results are thin third-party/custom/used listings with no canonical new-condition listing
Titleist Velocity golf,B0FY3Q4B8W,Titleist Velocity Golf Balls,24.99,2026-08-22,current generation; most-reviewed variant (158)
TaylorMade Distance  golf,B08QSL9XQW,TaylorMade Golf Distance+ Golf Balls,19.99,2026-08-22,article names TaylorMade Distance+; most-reviewed listing (11K)
Callaway Weather Spann golf,B0BKPCG7G9,Callaway Golf Weather Spann Glove,24.97,2026-08-22,current-generation glove (556 rv); a 2019-model listing has more reviews (773) but is the prior model
Bushnell iON Elite golf,B0BDMT1X9H,"Bushnell Golf iON Elite GPS Watch - Color Touchscreen, Slope-Adjusted Yardages, 38,000+ Courses, Shot Tracker, USB-C",189.99,2026-08-22,colour variants share 367 reviews; chose first organic
Ping G440 Hybrid golf,,,,2026-08-22,"BLANK: only loft/flex-specific third-party listings (e.g. '20* 3H Stiff Black Dot'), no prices or reviews shown, no canonical new-condition G440 hybrid listing; article names the model line, not a specific loft"
Cleveland Huntington Beach SOFT golf,B0CP9T2FKB,Cleveland Golf HB Soft 2 Putter (Model 11),145.39,2026-08-22,chose HB Soft 2 Model 11 mallet (73 rv); fits mallet-vs-blade article; HB SOFT Milled is a separate worklist term
Bushnell Pro X3  golf,B0CZ7MGYXB,"Bushnell Golf Pro X3+ Link Laser Rangefinder | Wind Speed, Slope & Elements Compensation, 1300-Yard Range, 7X Magnification",529.99,2026-08-22,articles name the Pro X3+ (Plus); 113 rv
Golf Pride Tour Velvet golf,B0039IIGJ2,Golf Pride Tour Velvet Golf Grip,6.99,2026-08-22,classic single grip; most-reviewed (1.3K)
Golf Pride MCC Plus4 golf,B00SZFMBNG,"Golf Pride MCC Plus4 Golf Club Grip, Grey",12.99,2026-08-22,grey; most-reviewed (2.2K)
Lamkin Crossline golf,B01B7MM386,"Lamkin Crossline Golf Club Grip, Standard",17.88,2026-08-22,single standard grip; most-reviewed (85)
Titleist GT2 golf,,,,2026-08-22,"BLANK: only loft/shaft-specific third-party listings (e.g. 'GT2 Driver 9* Project X HZRDUS'), no reviews, no canonical new GT2 driver listing; article (driver-loft) does not name one loft"
Wilson Harmonized Wedge golf,B0DX2KX8BF,Wilson Harmonized Unisex Golf Wedge,58.22,2026-08-22,loft variants share 264 reviews; chose first organic
Cleveland Smart Sole golf,B0CP6KP8B5,Cleveland Golf Smart Sole Full-Face Wedge,136.98,2026-08-22,article names the Smart Sole line; chose current Smart Sole Full-Face (94 rv); older Black Satin 4.0 (36 rv) exists; Type C is a separate worklist term
XXIO 14 golf,,,,2026-08-22,BLANK: term feeds two articles meaning different products (XXIO 14 driver in seniors-driver post; XXIO 14 irons in seniors-irons post); Amazon listings are generic 'XXIO 14 Men's Golf Club' titles with no reviews spanning driver/fairway/irons
Wilson Duo Soft golf,B0DQ9SKHJY,WILSON 2025 Duo Soft Golf Balls - 12 Balls,24.99,2026-08-22,2025 model; colour variants share 1K reviews; chose first organic
